Timestamp,IP,username,version,task,lightweightmechanical,toughness,strengthstiffness,lowdensity,extremeenvironments,slowdegradationrateswhenexposedtoo2h2oandsalts,thermalexpansioncoefficientmismatch,glasstransitiontemperaturetg,resistancetofracture,reinforcementarchitecture,fibermatrixinterface,polymermatrix,isprepared,crosslinkingdensity,heterogeneity,thechoiceandpreparationofreinforcement,morphology,microstructureofthereinforcementphase,layupandcuring,dispersion,aggregation,orientationofthereinforcement,postlayupannealingandaging,matrixreinforcementinterface,failuremode
11/1/2021 13:17:45,00.000.00.00,whitney,1,para,Performance,Property,Property,Property,Performance,Property,Property,Property,Performance,Property,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Processing,Structure,Performance
11/1/2021 13:18:03,00.000.00.00,Kaden%20Stevens,1,para,Performance,Performance,Performance,Property,Performance,Performance,Property,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Processing,Structure,Performance
11/1/2021 13:18:11,00.000.00.00,IMHYEJI,1,para,Performance,Property,Property,Property,Performance,Performance,Structure,Property,Property,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Processing,Processing,Processing,Processing,Structure,Property
11/1/2021 13:39:25,00.000.00.00,IMHYEJI,2,para,Performance,Property,Property,Property,Performance,Property,Property,Structure,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Processing,Structure,Structure
11/1/2021 13:18:51,00.000.00.00,HFENG,1,para,Performance,Property,Property,Property,Performance,Performance,Property,Property,Property,Property,Property,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Processing,Processing,Structure,Processing,Structure,Processing
11/1/2021 13:20:04,00.000.00.00,CJE,1,para,Performance,Property,Property,Property,Performance,Performance,Property,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Property,Property,Property,Processing,Structure,Performance
11/1/2021 13:39:22,00.000.00.00,Kuma,2,para,Performance,Property,Property,Property,Performance,Property,Property,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Processing,Processing,Property
11/1/2021 13:37:55,00.000.00.00,Kaden%20Stevens,2,para,Performance,Performance,Performance,Property,Performance,Performance,Property,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Processing,Structure,Performance
11/1/2021 13:38:09,00.000.00.00,whitney,2,para,Performance,Property,Property,Property,Performance,Property,Property,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Processing,Structure,Performance
11/3/2021 9:59:41,00.000.00.00,AaronGeller,2,para,Performance,Property,Property,Property,Performance,Property,Property,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Processing,Structure,Property
11/1/2021 13:38:25,00.000.00.00,JamesMale,2,para,Performance,Property,Property,Property,Performance,Property,Property,Property,Property,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Processing,Structure,Property
11/1/2021 13:38:33,00.000.00.00,BrandonO,2,para,Performance,Property,Property,Property,Performance,Property,Property,Property,Property,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Processing,Structure,Property
11/1/2021 13:38:35,00.000.00.00,WhitneyT,2,para,Performance,Property,Property,Property,Performance,Property,Property,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Processing,Structure,Property
11/1/2021 13:38:59,00.000.00.00,chris_h,2,para,Performance,Property,Property,Property,Performance,Property,Property,Property,Property,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Processing,Structure,Performance
11/1/2021 13:45:48,00.000.00.00,Alex,2,para,Performance,Property,Property,Property,Performance,Performance,Processing,Property,Property,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Property,Structure,Processing,Structure,Structure,Structure,Processing,Structure,Property
11/1/2021 13:39:56,00.000.00.00,CJE,2,para,Performance,Property,Property,Property,Performance,Property,Property,Property,Performance,Structure,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Structure,Processing,Structure,Performance
11/1/2021 13:44:34,00.000.00.00,HFENG,2,para,Performance,Property,Property,Property,Performance,Performance,Property,Property,Property,Property,Property,Structure,Processing,Structure,Structure,Processing,Structure,Structure,Processing,Processing,Processing,Processing,Processing,Structure,Processing
11/1/2021 13:47:07,00.000.00.00,Kaden%20Stevens,1,SDC,,lightweightmechanical,resistancetofracture,lightweightmechanical,,extremeenvironments,extremeenvironments,resistancetofracture extremeenvironments,,strengthstiffness,strengthstiffness,glasstransitiontemperaturetg lowdensity slowdegradationrateswhenexposedtoo2h2oandsalts,crosslinkingdensity polymermatrix,glasstransitiontemperaturetg slowdegradationrateswhenexposedtoo2h2oandsalts,thermalexpansioncoefficientmismatch,reinforcementarchitecture morphology heterogeneity microstructureofthereinforcementphase dispersion orientationofthereinforcement aggregation matrixreinforcementinterface,strengthstiffness thermalexpansioncoefficientmismatch toughness,thermalexpansioncoefficientmismatch,fibermatrixinterface matrixreinforcementinterface microstructureofthereinforcementphase morphology,failuremode,failuremode,toughness,crosslinkingdensity,failuremode,resistancetofracture
11/1/2021 13:48:04,00.000.00.00,AaronGeller,1,SDC,,resistancetofracture,resistancetofracture lightweightmechanical,lightweightmechanical,,extremeenvironments,resistancetofracture extremeenvironments,extremeenvironments,,toughness failuremode,toughness,lowdensity,heterogeneity crosslinkingdensity polymermatrix,strengthstiffness glasstransitiontemperaturetg,strengthstiffness,morphology microstructureofthereinforcementphase,toughness slowdegradationrateswhenexposedtoo2h2oandsalts,,orientationofthereinforcement dispersion,slowdegradationrateswhenexposedtoo2h2oandsalts,slowdegradationrateswhenexposedtoo2h2oandsalts,slowdegradationrateswhenexposedtoo2h2oandsalts,matrixreinforcementinterface fibermatrixinterface reinforcementarchitecture,failuremode slowdegradationrateswhenexposedtoo2h2oandsalts strengthstiffness toughness,resistancetofracture
11/1/2021 13:48:07,00.000.00.00,WhitneyT,1,SDC,,resistancetofracture lightweightmechanical,resistancetofracture lightweightmechanical,lightweightmechanical,,extremeenvironments,extremeenvironments,extremeenvironments resistancetofracture,,strengthstiffness toughness,strengthstiffness toughness,slowdegradationrateswhenexposedtoo2h2oandsalts,heterogeneity morphology polymermatrix,lowdensity glasstransitiontemperaturetg,glasstransitiontemperaturetg thermalexpansioncoefficientmismatch slowdegradationrateswhenexposedtoo2h2oandsalts,aggregation dispersion reinforcementarchitecture fibermatrixinterface matrixreinforcementinterface orientationofthereinforcement microstructureofthereinforcementphase,thermalexpansioncoefficientmismatch,strengthstiffness toughness,crosslinkingdensity microstructureofthereinforcementphase,strengthstiffness toughness,strengthstiffness toughness,failuremode,matrixreinforcementinterface fibermatrixinterface,strengthstiffness toughness,resistancetofracture
11/1/2021 13:49:08,00.000.00.00,JonEmery,2,SDC,,resistancetofracture,,,,,,,,,,,,,,,,,,,,,,,
11/1/2021 13:49:18,00.000.00.00,whitney,1,SDC,,resistancetofracture,resistancetofracture lightweightmechanical,lightweightmechanical,,extremeenvironments,lightweightmechanical,resistancetofracture,,failuremode,failuremode thermalexpansioncoefficientmismatch toughness,glasstransitiontemperaturetg,crosslinkingdensity polymermatrix heterogeneity,strengthstiffness toughness glasstransitiontemperaturetg,lowdensity,morphology microstructureofthereinforcementphase,lowdensity,failuremode,dispersion aggregation orientationofthereinforcement,strengthstiffness toughness,strengthstiffness toughness,failuremode,matrixreinforcementinterface,failuremode thermalexpansioncoefficientmismatch toughness,resistancetofracture
11/1/2021 13:50:20,00.000.00.00,Alex,1,SDC,,,,lightweightmechanical,,extremeenvironments,resistancetofracture extremeenvironments,extremeenvironments,,,toughness strengthstiffness,strengthstiffness,aggregation crosslinkingdensity heterogeneity,lowdensity,,microstructureofthereinforcementphase reinforcementarchitecture morphology heterogeneity,,failuremode,orientationofthereinforcement,,lowdensity,,,failuremode toughness strengthstiffness lowdensity,resistancetofracture
11/1/2021 13:50:47,00.000.00.00,chris_h,1,SDC,,resistancetofracture,lightweightmechanical,lightweightmechanical,,extremeenvironments,resistancetofracture lightweightmechanical,resistancetofracture lightweightmechanical,,toughness failuremode,failuremode thermalexpansioncoefficientmismatch,slowdegradationrateswhenexposedtoo2h2oandsalts lowdensity glasstransitiontemperaturetg,heterogeneity crosslinkingdensity,strengthstiffness,slowdegradationrateswhenexposedtoo2h2oandsalts,microstructureofthereinforcementphase matrixreinforcementinterface reinforcementarchitecture morphology,failuremode toughness,strengthstiffness,orientationofthereinforcement reinforcementarchitecture aggregation dispersion,failuremode toughness,failuremode toughness,strengthstiffness,microstructureofthereinforcementphase matrixreinforcementinterface,failuremode thermalexpansioncoefficientmismatch toughness,resistancetofracture
11/1/2021 13:52:28,00.000.00.00,HFENG,1,SDC,,lightweightmechanical resistancetofracture,resistancetofracture lightweightmechanical,lightweightmechanical,,extremeenvironments,,lightweightmechanical resistancetofracture extremeenvironments,,toughness strengthstiffness,toughness strengthstiffness,,heterogeneity polymermatrix fibermatrixinterface reinforcementarchitecture morphology dispersion aggregation,strengthstiffness toughness slowdegradationrateswhenexposedtoo2h2oandsalts thermalexpansioncoefficientmismatch glasstransitiontemperaturetg failuremode,thermalexpansioncoefficientmismatch,orientationofthereinforcement microstructureofthereinforcementphase dispersion aggregation,strengthstiffness toughness lowdensity thermalexpansioncoefficientmismatch,thermalexpansioncoefficientmismatch slowdegradationrateswhenexposedtoo2h2oandsalts failuremode strengthstiffness toughness,crosslinkingdensity orientationofthereinforcement matrixreinforcementinterface morphology reinforcementarchitecture,failuremode,failuremode thermalexpansioncoefficientmismatch strengthstiffness toughness,failuremode strengthstiffness toughness,aggregation crosslinkingdensity matrixreinforcementinterface reinforcementarchitecture,failuremode glasstransitiontemperaturetg thermalexpansioncoefficientmismatch slowdegradationrateswhenexposedtoo2h2oandsalts strengthstiffness,extremeenvironments resistancetofracture
11/1/2021 13:54:38,00.000.00.00,HFENG,2,SDC,,lightweightmechanical resistancetofracture,resistancetofracture lightweightmechanical,lightweightmechanical,,extremeenvironments,lightweightmechanical,lightweightmechanical resistancetofracture extremeenvironments,,toughness strengthstiffness,toughness strengthstiffness,,heterogeneity polymermatrix fibermatrixinterface reinforcementarchitecture morphology dispersion aggregation,strengthstiffness toughness slowdegradationrateswhenexposedtoo2h2oandsalts thermalexpansioncoefficientmismatch glasstransitiontemperaturetg failuremode,thermalexpansioncoefficientmismatch,orientationofthereinforcement microstructureofthereinforcementphase dispersion aggregation,strengthstiffness toughness lowdensity thermalexpansioncoefficientmismatch failuremode slowdegradationrateswhenexposedtoo2h2oandsalts,thermalexpansioncoefficientmismatch slowdegradationrateswhenexposedtoo2h2oandsalts failuremode strengthstiffness toughness,crosslinkingdensity orientationofthereinforcement matrixreinforcementinterface morphology reinforcementarchitecture,failuremode,failuremode thermalexpansioncoefficientmismatch strengthstiffness toughness,failuremode strengthstiffness toughness,aggregation crosslinkingdensity matrixreinforcementinterface reinforcementarchitecture,failuremode glasstransitiontemperaturetg thermalexpansioncoefficientmismatch slowdegradationrateswhenexposedtoo2h2oandsalts strengthstiffness,extremeenvironments resistancetofracture
11/1/2021 13:53:12,00.000.00.00,JamesMale,1,SDC,,resistancetofracture lightweightmechanical,resistancetofracture lightweightmechanical,lightweightmechanical,,extremeenvironments,extremeenvironments resistancetofracture,extremeenvironments,,failuremode thermalexpansioncoefficientmismatch toughness,failuremode thermalexpansioncoefficientmismatch toughness,lowdensity glasstransitiontemperaturetg slowdegradationrateswhenexposedtoo2h2oandsalts strengthstiffness,polymermatrix crosslinkingdensity heterogeneity,strengthstiffness lowdensity toughness glasstransitiontemperaturetg,slowdegradationrateswhenexposedtoo2h2oandsalts,morphology microstructureofthereinforcementphase,slowdegradationrateswhenexposedtoo2h2oandsalts lowdensity strengthstiffness,failuremode,orientationofthereinforcement reinforcementarchitecture aggregation dispersion,lowdensity,,failuremode toughness strengthstiffness,matrixreinforcementinterface fibermatrixinterface reinforcementarchitecture,failuremode thermalexpansioncoefficientmismatch toughness,resistancetofracture extremeenvironments
11/1/2021 13:53:35,00.000.00.00,BrandonO,1,SDC,,resistancetofracture lightweightmechanical,lightweightmechanical,lightweightmechanical,,extremeenvironments,resistancetofracture extremeenvironments,extremeenvironments,,failuremode toughness,failuremode thermalexpansioncoefficientmismatch slowdegradationrateswhenexposedtoo2h2oandsalts,lowdensity,reinforcementarchitecture heterogeneity dispersion aggregation,toughness strengthstiffness,strengthstiffness toughness,fibermatrixinterface polymermatrix,strengthstiffness toughness,strengthstiffness,orientationofthereinforcement matrixreinforcementinterface microstructureofthereinforcementphase morphology crosslinkingdensity,slowdegradationrateswhenexposedtoo2h2oandsalts,slowdegradationrateswhenexposedtoo2h2oandsalts,strengthstiffness,microstructureofthereinforcementphase morphology heterogeneity,thermalexpansioncoefficientmismatch failuremode slowdegradationrateswhenexposedtoo2h2oandsalts,resistancetofracture
11/1/2021 13:54:23,00.000.00.00,IMHYEJI,1,SDC,,resistancetofracture,lightweightmechanical,lightweightmechanical,,extremeenvironments,,,,failuremode,null,,polymermatrix,,,morphology microstructureofthereinforcementphase,,,reinforcementarchitecture dispersion aggregation orientationofthereinforcement,,,,orientationofthereinforcement matrixreinforcementinterface,failuremode toughness,resistancetofracture
11/1/2021 13:54:47,00.000.00.00,Kuma,1,SDC,,lightweightmechanical resistancetofracture,resistancetofracture,lightweightmechanical,,extremeenvironments,resistancetofracture extremeenvironments lightweightmechanical,extremeenvironments,,glasstransitiontemperaturetg failuremode strengthstiffness toughness,failuremode,,polymermatrix heterogeneity crosslinkingdensity fibermatrixinterface,lowdensity,strengthstiffness toughness thermalexpansioncoefficientmismatch,morphology microstructureofthereinforcementphase,failuremode,strengthstiffness,reinforcementarchitecture dispersion aggregation orientationofthereinforcement,,,thermalexpansioncoefficientmismatch,matrixreinforcementinterface,thermalexpansioncoefficientmismatch strengthstiffness toughness,resistancetofracture
11/1/2021 13:55:10,00.000.00.00,CJE,1,SDC,,resistancetofracture,resistancetofracture,lightweightmechanical,,extremeenvironments,extremeenvironments,extremeenvironments,,failuremode lowdensity strengthstiffness toughness,failuremode strengthstiffness toughness,lowdensity strengthstiffness toughness,matrixreinforcementinterface orientationofthereinforcement dispersion heterogeneity crosslinkingdensity polymermatrix fibermatrixinterface reinforcementarchitecture,strengthstiffness toughness lowdensity slowdegradationrateswhenexposedtoo2h2oandsalts,glasstransitiontemperaturetg thermalexpansioncoefficientmismatch,matrixreinforcementinterface orientationofthereinforcement reinforcementarchitecture fibermatrixinterface polymermatrix crosslinkingdensity morphology microstructureofthereinforcementphase,glasstransitiontemperaturetg failuremode thermalexpansioncoefficientmismatch slowdegradationrateswhenexposedtoo2h2oandsalts lowdensity strengthstiffness toughness,toughness strengthstiffness lowdensity failuremode,matrixreinforcementinterface orientationofthereinforcement microstructureofthereinforcementphase morphology crosslinkingdensity polymermatrix fibermatrixinterface reinforcementarchitecture,thermalexpansioncoefficientmismatch lowdensity,thermalexpansioncoefficientmismatch lowdensity,failuremode strengthstiffness toughness,aggregation dispersion microstructureofthereinforcementphase morphology heterogeneity crosslinkingdensity reinforcementarchitecture polymermatrix fibermatrixinterface,failuremode toughness strengthstiffness,resistancetofracture
